,config,n_vars,n_clauses,n_groups,n_Avars,arjun_time,benchmark,network_type,encoding,configuration,timeout,memory_limit,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,stime,wtime,max_res_set_size,exit_status,signal,optimised_value,encoding_m/o
388,config-0,19041.0,206854.0,2252.0,14537.0,293.83,socfb-Bowdoin47.mtx,social,gis,,7200,4000000,12,False,True,True,2252.0,84387.0,310.7,0.96,5:13,154716,0,,4504,False
438,config-0,22727.0,212526.0,2252.0,18223.0,247.30,socfb-Bowdoin47.mtx,social,gis,,7200,4000000,16,False,True,True,2252.0,84387.0,264.28,0.87,4:27,156452,0,,4504,False
44,config-0,1616.0,36550.0,769.0,78.0,15.76,socfb-Caltech36.mtx,social,gis,,7200,4000000,1,False,True,True,769.0,16656.0,18.91,0.42,0:19,97128,0,,268,False
94,config-0,3074.0,38944.0,769.0,1536.0,142.35,socfb-Caltech36.mtx,social,gis,,7200,4000000,2,False,True,True,769.0,16656.0,149.03,0.64,2:31,102456,0,,970,False
144,config-0,3330.0,39965.0,769.0,1792.0,105.14,socfb-Caltech36.mtx,social,gis,,7200,4000000,3,False,True,True,769.0,16656.0,111.93,0.53,1:53,102976,0,,1342,False
194,config-0,3613.0,40984.0,769.0,2075.0,73.27,socfb-Caltech36.mtx,social,gis,,7200,4000000,4,False,True,True,769.0,16656.0,79.96,0.5,1:21,102096,0,,1454,False
244,config-0,4730.0,42511.0,769.0,3192.0,48.04,socfb-Caltech36.mtx,social,gis,,7200,4000000,6,False,True,True,769.0,16656.0,53.86,0.47,0:55,99092,0,,1528,False
294,config-0,5266.0,43906.0,769.0,3728.0,31.87,socfb-Caltech36.mtx,social,gis,,7200,4000000,8,False,True,True,769.0,16656.0,37.72,0.41,0:38,99044,0,,1536,False
344,config-0,5932.0,45267.0,769.0,4394.0,22.29,socfb-Caltech36.mtx,social,gis,,7200,4000000,10,False,True,True,769.0,16656.0,28.0,0.44,0:29,99124,0,,1538,False
394,config-0,6434.0,46248.0,769.0,4896.0,15.18,socfb-Caltech36.mtx,social,gis,,7200,4000000,12,False,True,True,769.0,16656.0,20.92,3.18,0:26,89912,0,,1538,False
444,config-0,7633.0,48134.0,769.0,6095.0,9.05,socfb-Caltech36.mtx,social,gis,,7200,4000000,16,False,True,True,769.0,16656.0,15.02,0.43,0:15,100568,0,,1538,False
47,config-0,7115.0,324364.0,3482.0,151.0,941.52,socfb-Colgate88.mtx,social,gis,,7200,4000000,1,False,True,True,3482.0,155043.0,974.46,1.64,16:22,377112,0,,1560,False
97,config-0,13951.0,335630.0,3482.0,6987.0,2465.23,socfb-Colgate88.mtx,social,gis,,7200,4000000,2,False,True,True,3482.0,155043.0,2497.57,2.66,41:54,251132,0,,5354,False
147,config-0,15128.0,340285.0,3482.0,8164.0,1696.46,socfb-Colgate88.mtx,social,gis,,7200,4000000,3,False,True,True,3482.0,155043.0,1729.14,2.12,38:50,209312,0,,6544,False
197,config-0,16531.0,344913.0,3482.0,9567.0,1173.45,socfb-Colgate88.mtx,social,gis,,7200,4000000,4,False,True,True,3482.0,155043.0,1207.62,1.82,20:15,230360,0,,6878,False
247,config-0,21481.0,351891.0,3482.0,14517.0,888.86,socfb-Colgate88.mtx,social,gis,,7200,4000000,6,False,True,True,3482.0,155043.0,922.6,1.6,15:28,231492,0,,6962,False
297,config-0,24033.0,358239.0,3482.0,17069.0,741.41,socfb-Colgate88.mtx,social,gis,,7200,4000000,8,False,True,True,3482.0,155043.0,772.81,1.52,13:02,232940,0,,6964,False
347,config-0,26793.0,364457.0,3482.0,19829.0,674.17,socfb-Colgate88.mtx,social,gis,,7200,4000000,10,False,True,True,3482.0,155043.0,702.73,1.5,11:47,238372,0,,6964,False
397,config-0,29147.0,369038.0,3482.0,22183.0,809.57,socfb-Colgate88.mtx,social,gis,,7200,4000000,12,False,True,True,3482.0,155043.0,843.01,4.35,14:14,215972,0,,6964,False
447,config-0,35033.0,378040.0,3482.0,28069.0,741.08,socfb-Colgate88.mtx,social,gis,,7200,4000000,16,False,True,True,3482.0,155043.0,773.71,1.51,13:00,217536,0,,6964,False
36,config-0,4753.0,202322.0,2314.0,125.0,415.34,socfb-Hamilton46.mtx,social,gis,,7200,4000000,1,False,True,True,2314.0,96394.0,436.84,1.17,7:21,270148,0,,952,False
86,config-0,9263.0,209756.0,2314.0,4635.0,1270.34,socfb-Hamilton46.mtx,social,gis,,7200,4000000,2,False,True,True,2314.0,96394.0,1292.38,1.81,21:42,192952,0,,3456,False
136,config-0,10040.0,212843.0,2314.0,5412.0,821.56,socfb-Hamilton46.mtx,social,gis,,7200,4000000,3,False,True,True,2314.0,96394.0,844.02,1.51,14:10,163612,0,,4298,False
186,config-0,10931.0,215919.0,2314.0,6303.0,665.98,socfb-Hamilton46.mtx,social,gis,,7200,4000000,4,False,True,True,2314.0,96394.0,687.77,4.2,11:38,159700,0,,4548,False
236,config-0,14265.0,220545.0,2314.0,9637.0,488.75,socfb-Hamilton46.mtx,social,gis,,7200,4000000,6,False,True,True,2314.0,96394.0,511.45,1.32,8:36,160732,0,,4628,False
286,config-0,15921.0,224765.0,2314.0,11293.0,431.65,socfb-Hamilton46.mtx,social,gis,,7200,4000000,8,False,True,True,2314.0,96394.0,453.71,1.22,7:38,162344,0,,4628,False
336,config-0,17881.0,228887.0,2314.0,13253.0,369.89,socfb-Hamilton46.mtx,social,gis,,7200,4000000,10,False,True,True,2314.0,96394.0,391.71,1.17,6:35,162504,0,,4628,False
386,config-0,19371.0,231888.0,2314.0,14743.0,360.71,socfb-Hamilton46.mtx,social,gis,,7200,4000000,12,False,True,True,2314.0,96394.0,382.96,1.16,6:26,163312,0,,4628,False
436,config-0,23147.0,237632.0,2314.0,18519.0,292.30,socfb-Hamilton46.mtx,social,gis,,7200,4000000,16,False,True,True,2314.0,96394.0,314.12,1.0,5:17,164372,0,,4628,False
33,config-0,2995.0,125188.0,1446.0,103.0,188.49,socfb-Haverford76.mtx,social,gis,,7200,4000000,1,False,True,True,1446.0,59589.0,202.73,0.87,3:25,204788,0,,580,False
83,config-0,5787.0,129778.0,1446.0,2895.0,630.41,socfb-Haverford76.mtx,social,gis,,7200,4000000,2,False,True,True,1446.0,59589.0,647.47,1.39,10:53,152108,0,,2156,False
133,config-0,6272.0,131705.0,1446.0,3380.0,397.30,socfb-Haverford76.mtx,social,gis,,7200,4000000,3,False,True,True,1446.0,59589.0,414.55,1.19,6:58,128452,0,,2692,False
183,config-0,6811.0,133625.0,1446.0,3919.0,273.61,socfb-Haverford76.mtx,social,gis,,7200,4000000,4,False,True,True,1446.0,59589.0,290.58,1.01,4:53,151060,0,,2840,False
233,config-0,8909.0,136511.0,1446.0,6017.0,229.68,socfb-Haverford76.mtx,social,gis,,7200,4000000,6,False,True,True,1446.0,59589.0,245.75,3.53,4:12,150292,0,,2890,False
283,config-0,9925.0,139143.0,1446.0,7033.0,192.49,socfb-Haverford76.mtx,social,gis,,7200,4000000,8,False,True,True,1446.0,59589.0,208.92,0.73,3:31,145528,0,,2892,False
333,config-0,11093.0,141725.0,1446.0,8201.0,166.90,socfb-Haverford76.mtx,social,gis,,7200,4000000,10,False,True,True,1446.0,59589.0,183.54,0.87,3:06,126536,0,,2892,False
383,config-0,12103.0,143594.0,1446.0,9211.0,136.31,socfb-Haverford76.mtx,social,gis,,7200,4000000,12,False,True,True,1446.0,59589.0,152.94,0.86,2:35,128164,0,,2892,False
433,config-0,14421.0,147256.0,1446.0,11529.0,107.28,socfb-Haverford76.mtx,social,gis,,7200,4000000,16,False,True,True,1446.0,59589.0,123.73,0.75,2:05,131500,0,,2892,False
48,config-0,7651.0,179156.0,3748.0,155.0,261.94,socfb-Mich67.mtx,social,gis,,7200,4000000,1,False,True,True,3748.0,81903.0,274.68,0.88,4:37,229456,0,,1354,False
98,config-0,15053.0,191314.0,3748.0,7557.0,2127.27,socfb-Mich67.mtx,social,gis,,7200,4000000,2,False,True,True,3748.0,81903.0,2140.94,2.29,35:55,200384,0,,4080,False
148,config-0,16332.0,196337.0,3748.0,8836.0,1884.41,socfb-Mich67.mtx,social,gis,,7200,4000000,3,False,True,True,3748.0,81903.0,1898.12,2.47,31:52,179864,0,,6140,False
198,config-0,17835.0,201331.0,3748.0,10339.0,1194.60,socfb-Mich67.mtx,social,gis,,7200,4000000,4,False,True,True,3748.0,81903.0,1207.55,1.68,30:02,159684,0,,7094,False
248,config-0,23271.0,208843.0,3748.0,15775.0,933.22,socfb-Mich67.mtx,social,gis,,7200,4000000,6,False,True,True,3748.0,81903.0,946.17,1.34,15:51,175156,0,,7482,False
298,config-0,26023.0,215749.0,3748.0,18527.0,819.19,socfb-Mich67.mtx,social,gis,,7200,4000000,8,False,True,True,3748.0,81903.0,831.86,1.34,13:56,178748,0,,7496,False
348,config-0,28635.0,222369.0,3748.0,21139.0,680.88,socfb-Mich67.mtx,social,gis,,7200,4000000,10,False,True,True,3748.0,81903.0,693.73,1.16,11:38,177404,0,,7496,False
398,config-0,31745.0,227254.0,3748.0,24249.0,732.34,socfb-Mich67.mtx,social,gis,,7200,4000000,12,False,True,True,3748.0,81903.0,745.32,4.25,12:35,159480,0,,7496,False
448,config-0,37991.0,236726.0,3748.0,30495.0,642.94,socfb-Mich67.mtx,social,gis,,7200,4000000,16,False,True,True,3748.0,81903.0,656.75,1.52,11:02,158992,0,,7496,False
37,config-0,6291.0,261840.0,3075.0,141.0,703.74,socfb-Middlebury45.mtx,social,gis,,7200,4000000,1,False,True,True,3075.0,124610.0,730.27,1.29,12:16,316856,0,,1272,False
87,config-0,12300.0,271764.0,3075.0,6150.0,2370.92,socfb-Middlebury45.mtx,social,gis,,7200,4000000,2,False,True,True,3075.0,124610.0,2400.62,5.23,40:23,229716,0,,4516,False
137,config-0,13326.0,275861.0,3075.0,7176.0,1289.92,socfb-Middlebury45.mtx,social,gis,,7200,4000000,3,False,True,True,3075.0,124610.0,1319.31,1.98,22:09,184180,0,,5638,False
187,config-0,14473.0,279954.0,3075.0,8323.0,898.11,socfb-Middlebury45.mtx,social,gis,,7200,4000000,4,False,True,True,3075.0,124610.0,925.73,1.58,15:33,183200,0,,6016,False
237,config-0,18952.0,286095.0,3075.0,12802.0,701.68,socfb-Middlebury45.mtx,social,gis,,7200,4000000,6,False,True,True,3075.0,124610.0,728.66,1.25,22:01,184848,0,,6146,False
287,config-0,21120.0,291716.0,3075.0,14970.0,609.99,socfb-Middlebury45.mtx,social,gis,,7200,4000000,8,False,True,True,3075.0,124610.0,636.91,1.09,10:41,207420,0,,6150,False
337,config-0,23798.0,297207.0,3075.0,17648.0,537.07,socfb-Middlebury45.mtx,social,gis,,7200,4000000,10,False,True,True,3075.0,124610.0,563.44,1.01,9:27,206316,0,,6150,False
387,config-0,25828.0,301172.0,3075.0,19678.0,505.43,socfb-Middlebury45.mtx,social,gis,,7200,4000000,12,False,True,True,3075.0,124610.0,531.93,0.94,8:55,207308,0,,6150,False
437,config-0,30693.0,308822.0,3075.0,24543.0,435.31,socfb-Middlebury45.mtx,social,gis,,7200,4000000,16,False,True,True,3075.0,124610.0,460.35,0.84,7:43,208736,0,,6150,False
42,config-0,5979.0,191820.0,2920.0,139.0,433.31,socfb-Oberlin44.mtx,social,gis,,7200,4000000,1,False,True,True,2920.0,89912.0,449.17,3.82,7:38,267820,0,,948,False
92,config-0,11709.0,201248.0,2920.0,5869.0,1882.97,socfb-Oberlin44.mtx,social,gis,,7200,4000000,2,False,True,True,2920.0,89912.0,1901.9,2.19,31:56,200672,0,,3880,False
142,config-0,12700.0,205155.0,2920.0,6860.0,1186.93,socfb-Oberlin44.mtx,social,gis,,7200,4000000,3,False,True,True,2920.0,89912.0,1205.21,1.77,20:14,167592,0,,5148,False
192,config-0,13791.0,209037.0,2920.0,7951.0,857.17,socfb-Oberlin44.mtx,social,gis,,7200,4000000,4,False,True,True,2920.0,89912.0,874.74,1.63,14:43,158816,0,,5636,False
242,config-0,18011.0,214897.0,2920.0,12171.0,651.34,socfb-Oberlin44.mtx,social,gis,,7200,4000000,6,False,True,True,2920.0,89912.0,668.14,1.34,21:02,166400,0,,5828,False
292,config-0,20059.0,220211.0,2920.0,14219.0,572.16,socfb-Oberlin44.mtx,social,gis,,7200,4000000,8,False,True,True,2920.0,89912.0,589.18,1.18,9:53,180424,0,,5840,False
342,config-0,22407.0,225419.0,2920.0,16567.0,508.25,socfb-Oberlin44.mtx,social,gis,,7200,4000000,10,False,True,True,2920.0,89912.0,525.37,1.2,8:52,185160,0,,5840,False
392,config-0,24625.0,229220.0,2920.0,18785.0,486.86,socfb-Oberlin44.mtx,social,gis,,7200,4000000,12,False,True,True,2920.0,89912.0,503.74,1.16,8:27,182280,0,,5840,False
442,config-0,29207.0,236656.0,2920.0,23367.0,598.49,socfb-Oberlin44.mtx,social,gis,,7200,4000000,16,False,True,True,2920.0,89912.0,616.26,4.1,10:26,164032,0,,5840,False
32,config-0,7040.0,318142.0,3445.0,150.0,759.94,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,1,False,True,True,3445.0,152007.0,794.52,1.45,13:21,372540,0,,1602,False
82,config-0,13788.0,329273.0,3445.0,6898.0,2151.54,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,2,False,True,True,3445.0,152007.0,2186.92,2.49,36:42,245576,0,,5096,False
132,config-0,14939.0,333865.0,3445.0,8049.0,1419.71,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,3,False,True,True,3445.0,152007.0,1454.66,1.79,24:23,206468,0,,6290,False
182,config-0,16342.0,338456.0,3445.0,9452.0,1038.63,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,4,False,True,True,3445.0,152007.0,1072.11,1.52,27:49,209828,0,,6724,False
232,config-0,21255.0,345334.0,3445.0,14365.0,807.57,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,6,False,True,True,3445.0,152007.0,841.09,1.25,14:06,228664,0,,6882,False
282,config-0,23807.0,351645.0,3445.0,16917.0,848.45,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,8,False,True,True,3445.0,152007.0,883.97,4.52,14:55,210156,0,,6888,False
332,config-0,26531.0,357804.0,3445.0,19641.0,749.35,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,10,False,True,True,3445.0,152007.0,785.2,1.69,13:12,213436,0,,6890,False
382,config-0,28650.0,362322.0,3445.0,21760.0,716.89,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,12,False,True,True,3445.0,152007.0,752.85,1.59,12:39,213068,0,,6890,False
432,config-0,34574.0,371213.0,3445.0,27684.0,646.76,socfb-Pepperdine86.mtx,social,gis,,7200,4000000,16,False,True,True,3445.0,152007.0,681.79,1.42,11:27,218124,0,,6890,False
46,config-0,2011.0,41658.0,962.0,87.0,16.31,socfb-Reed98.mtx,social,gis,,7200,4000000,1,False,True,True,962.0,18812.0,19.1,0.4,0:20,100140,0,,306,False
96,config-0,3847.0,44672.0,962.0,1923.0,169.28,socfb-Reed98.mtx,social,gis,,7200,4000000,2,False,True,True,962.0,18812.0,172.94,3.37,2:59,120076,0,,1116,False
146,config-0,4168.0,45951.0,962.0,2244.0,166.93,socfb-Reed98.mtx,social,gis,,7200,4000000,3,False,True,True,962.0,18812.0,170.52,0.53,2:52,113836,0,,1610,False
196,config-0,4547.0,47227.0,962.0,2623.0,107.76,socfb-Reed98.mtx,social,gis,,7200,4000000,4,False,True,True,962.0,18812.0,111.31,0.46,1:52,100000,0,,1818,False
246,config-0,5921.0,49141.0,962.0,3997.0,76.33,socfb-Reed98.mtx,social,gis,,7200,4000000,6,False,True,True,962.0,18812.0,79.91,0.47,1:21,101912,0,,1922,False
296,config-0,6617.0,50889.0,962.0,4693.0,59.98,socfb-Reed98.mtx,social,gis,,7200,4000000,8,False,True,True,962.0,18812.0,63.4,0.44,1:04,103144,0,,1922,False
346,config-0,7377.0,52603.0,962.0,5453.0,45.28,socfb-Reed98.mtx,social,gis,,7200,4000000,10,False,True,True,962.0,18812.0,48.74,0.45,0:49,99448,0,,1922,False
396,config-0,8051.0,53828.0,962.0,6127.0,36.00,socfb-Reed98.mtx,social,gis,,7200,4000000,12,False,True,True,962.0,18812.0,39.46,0.43,0:40,99268,0,,1924,False
446,config-0,9611.0,56196.0,962.0,7687.0,22.82,socfb-Reed98.mtx,social,gis,,7200,4000000,16,False,True,True,962.0,18812.0,26.38,0.39,0:27,99072,0,,1924,False
29,config-0,3140.0,72276.0,1518.0,104.0,54.35,socfb-Simmons81.mtx,social,gis,,7200,4000000,1,False,True,True,1518.0,32988.0,59.3,0.56,1:00,130348,0,,446,False
79,config-0,6085.0,77106.0,1518.0,3049.0,425.64,socfb-Simmons81.mtx,social,gis,,7200,4000000,2,False,True,True,1518.0,32988.0,434.0,1.05,7:18,126028,0,,1910,False
129,config-0,6596.0,79131.0,1518.0,3560.0,361.40,socfb-Simmons81.mtx,social,gis,,7200,4000000,3,False,True,True,1518.0,32988.0,369.63,0.96,6:13,112664,0,,2638,False
179,config-0,7165.0,81153.0,1518.0,4129.0,269.92,socfb-Simmons81.mtx,social,gis,,7200,4000000,4,False,True,True,1518.0,32988.0,278.42,3.61,4:45,117092,0,,2922,False
229,config-0,9385.0,84179.0,1518.0,6349.0,206.71,socfb-Simmons81.mtx,social,gis,,7200,4000000,6,False,True,True,1518.0,32988.0,214.3,0.65,3:36,114628,0,,3032,False
279,config-0,10461.0,86961.0,1518.0,7425.0,166.70,socfb-Simmons81.mtx,social,gis,,7200,4000000,8,False,True,True,1518.0,32988.0,174.34,0.63,2:56,107156,0,,3034,False
329,config-0,11677.0,89643.0,1518.0,8641.0,137.01,socfb-Simmons81.mtx,social,gis,,7200,4000000,10,False,True,True,1518.0,32988.0,144.6,0.62,2:26,136988,0,,3036,False
379,config-0,12801.0,91610.0,1518.0,9765.0,115.12,socfb-Simmons81.mtx,social,gis,,7200,4000000,12,False,True,True,1518.0,32988.0,122.57,0.63,2:04,109320,0,,3036,False
429,config-0,15207.0,95396.0,1518.0,12171.0,86.96,socfb-Simmons81.mtx,social,gis,,7200,4000000,16,False,True,True,1518.0,32988.0,94.76,0.62,1:36,107980,0,,3036,False
49,config-0,6079.0,206462.0,2970.0,139.0,462.95,socfb-Smith60.mtx,social,gis,,7200,4000000,1,False,True,True,2970.0,97133.0,479.21,1.14,8:04,272772,0,,928,False
99,config-0,11883.0,216040.0,2970.0,5943.0,1978.16,socfb-Smith60.mtx,social,gis,,7200,4000000,2,False,True,True,2970.0,97133.0,1998.22,2.36,33:33,206948,0,,4064,False
149,config-0,12874.0,219997.0,2970.0,6934.0,1227.78,socfb-Smith60.mtx,social,gis,,7200,4000000,3,False,True,True,2970.0,97133.0,1246.88,1.94,20:56,174336,0,,5374,False
199,config-0,13989.0,223953.0,2970.0,8049.0,824.45,socfb-Smith60.mtx,social,gis,,7200,4000000,4,False,True,True,2970.0,97133.0,842.92,1.5,14:10,173712,0,,5798,False
249,config-0,18235.0,229939.0,2970.0,12295.0,645.29,socfb-Smith60.mtx,social,gis,,7200,4000000,6,False,True,True,2970.0,97133.0,663.02,1.2,20:55,177300,0,,5938,False
299,config-0,20333.0,235379.0,2970.0,14393.0,699.98,socfb-Smith60.mtx,social,gis,,7200,4000000,8,False,True,True,2970.0,97133.0,719.08,4.28,12:10,167376,0,,5940,False
349,config-0,22825.0,240637.0,2970.0,16885.0,577.21,socfb-Smith60.mtx,social,gis,,7200,4000000,10,False,True,True,2970.0,97133.0,596.38,1.41,10:02,162860,0,,5940,False
399,config-0,24899.0,244462.0,2970.0,18959.0,562.49,socfb-Smith60.mtx,social,gis,,7200,4000000,12,False,True,True,2970.0,97133.0,581.3,1.49,9:46,163840,0,,5940,False
449,config-0,29481.0,251972.0,2970.0,23541.0,492.82,socfb-Smith60.mtx,social,gis,,7200,4000000,16,False,True,True,2970.0,97133.0,511.76,1.32,8:36,165380,0,,5940,False
31,config-0,3426.0,128972.0,1659.0,108.0,214.64,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,1,False,True,True,1659.0,61050.0,227.23,0.76,3:49,212408,0,,602,False
81,config-0,6660.0,134276.0,1659.0,3342.0,822.13,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,2,False,True,True,1659.0,61050.0,835.77,1.55,14:03,155384,0,,2376,False
131,config-0,7230.0,136501.0,1659.0,3912.0,480.54,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,3,False,True,True,1659.0,61050.0,493.42,1.18,8:18,131864,0,,3048,False
181,config-0,7897.0,138698.0,1659.0,4579.0,333.43,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,4,False,True,True,1659.0,61050.0,346.33,0.99,5:49,161412,0,,3256,False
231,config-0,10295.0,142041.0,1659.0,6977.0,250.11,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,6,False,True,True,1659.0,61050.0,262.81,0.65,4:25,127280,0,,3318,False
281,config-0,11503.0,145089.0,1659.0,8185.0,261.75,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,8,False,True,True,1659.0,61050.0,275.04,3.85,4:43,131228,0,,3318,False
331,config-0,12715.0,147980.0,1659.0,9397.0,216.04,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,10,False,True,True,1659.0,61050.0,229.84,1.0,3:52,128136,0,,3318,False
381,config-0,13765.0,150163.0,1659.0,10447.0,186.53,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,12,False,True,True,1659.0,61050.0,200.41,0.77,3:22,128288,0,,3318,False
431,config-0,16474.0,154341.0,1659.0,13156.0,146.85,socfb-Swarthmore42.mtx,social,gis,,7200,4000000,16,False,True,True,1659.0,61050.0,160.9,0.88,2:43,130624,0,,3318,False
40,config-0,5359.0,234748.0,2613.0,133.0,613.56,socfb-Trinity100.mtx,social,gis,,7200,4000000,1,False,True,True,2613.0,111996.0,637.47,4.08,10:47,292132,0,,1100,False
90,config-0,10470.0,243160.0,2613.0,5244.0,2144.21,socfb-Trinity100.mtx,social,gis,,7200,4000000,2,False,True,True,2613.0,111996.0,2171.9,2.58,36:27,208960,0,,3958,False
140,config-0,11354.0,246653.0,2613.0,6128.0,1267.19,socfb-Trinity100.mtx,social,gis,,7200,4000000,3,False,True,True,2613.0,111996.0,1294.96,2.14,21:44,180564,0,,4844,False
190,config-0,12341.0,250124.0,2613.0,7115.0,791.57,socfb-Trinity100.mtx,social,gis,,7200,4000000,4,False,True,True,2613.0,111996.0,819.14,1.77,24:00,170104,0,,5148,False
240,config-0,16143.0,255381.0,2613.0,10917.0,555.83,socfb-Trinity100.mtx,social,gis,,7200,4000000,6,False,True,True,2613.0,111996.0,581.01,1.23,9:45,191308,0,,5226,False
290,config-0,17991.0,260177.0,2613.0,12765.0,478.46,socfb-Trinity100.mtx,social,gis,,7200,4000000,8,False,True,True,2613.0,111996.0,503.31,1.13,8:26,192208,0,,5226,False
340,config-0,20101.0,264779.0,2613.0,14875.0,421.56,socfb-Trinity100.mtx,social,gis,,7200,4000000,10,False,True,True,2613.0,111996.0,447.52,1.12,7:30,193076,0,,5226,False
390,config-0,22012.0,268166.0,2613.0,16786.0,389.06,socfb-Trinity100.mtx,social,gis,,7200,4000000,12,False,True,True,2613.0,111996.0,412.81,0.88,6:55,193692,0,,5226,False
440,config-0,26186.0,274764.0,2613.0,20960.0,456.79,socfb-Trinity100.mtx,social,gis,,7200,4000000,16,False,True,True,2613.0,111996.0,482.56,4.11,8:11,177460,0,,5226,False
41,config-0,5498.0,141538.0,2682.0,134.0,154.02,socfb-USFCA72.mtx,social,gis,,7200,4000000,1,False,True,True,2682.0,65252.0,163.99,0.63,2:46,212368,0,,942,False
91,config-0,10731.0,150166.0,2682.0,5367.0,1100.29,socfb-USFCA72.mtx,social,gis,,7200,4000000,2,False,True,True,2682.0,65252.0,1112.58,1.55,18:41,173600,0,,3238,False
141,config-0,11626.0,153739.0,2682.0,6262.0,1037.56,socfb-USFCA72.mtx,social,gis,,7200,4000000,3,False,True,True,2682.0,65252.0,1049.54,1.55,17:37,158796,0,,4554,False
191,config-0,12645.0,157311.0,2682.0,7281.0,757.01,socfb-USFCA72.mtx,social,gis,,7200,4000000,4,False,True,True,2682.0,65252.0,769.56,4.2,13:00,146456,0,,5104,False
241,config-0,16539.0,162663.0,2682.0,11175.0,567.19,socfb-USFCA72.mtx,social,gis,,7200,4000000,6,False,True,True,2682.0,65252.0,579.06,0.92,9:43,163940,0,,5356,False
291,config-0,18451.0,167571.0,2682.0,13087.0,476.84,socfb-USFCA72.mtx,social,gis,,7200,4000000,8,False,True,True,2682.0,65252.0,488.76,1.18,8:13,138756,0,,5364,False
341,config-0,20639.0,172369.0,2682.0,15275.0,453.51,socfb-USFCA72.mtx,social,gis,,7200,4000000,10,False,True,True,2682.0,65252.0,465.33,0.86,7:49,156516,0,,5364,False
391,config-0,22563.0,175810.0,2682.0,17199.0,360.45,socfb-USFCA72.mtx,social,gis,,7200,4000000,12,False,True,True,2682.0,65252.0,372.52,1.01,6:16,139708,0,,5364,False
441,config-0,26825.0,182488.0,2682.0,21461.0,298.95,socfb-USFCA72.mtx,social,gis,,7200,4000000,16,False,True,True,2682.0,65252.0,310.72,0.9,5:13,140588,0,,5364,False
39,config-0,6277.0,250914.0,3068.0,141.0,841.75,socfb-Vassar85.mtx,social,gis,,7200,4000000,1,False,True,True,3068.0,119161.0,865.18,1.57,14:33,316792,0,,1170,False
89,config-0,12273.0,260814.0,3068.0,6137.0,2346.70,socfb-Vassar85.mtx,social,gis,,7200,4000000,2,False,True,True,3068.0,119161.0,2373.98,5.45,39:56,231192,0,,4452,False
139,config-0,13296.0,264901.0,3068.0,7160.0,1322.98,socfb-Vassar85.mtx,social,gis,,7200,4000000,3,False,True,True,3068.0,119161.0,1347.21,1.96,22:37,182624,0,,5664,False
189,config-0,14443.0,268987.0,3068.0,8307.0,888.26,socfb-Vassar85.mtx,social,gis,,7200,4000000,4,False,True,True,3068.0,119161.0,912.61,1.48,15:20,180380,0,,6028,False
239,config-0,18915.0,275111.0,3068.0,12779.0,688.05,socfb-Vassar85.mtx,social,gis,,7200,4000000,6,False,True,True,3068.0,119161.0,710.94,1.19,21:44,181756,0,,6136,False
289,config-0,21083.0,280725.0,3068.0,14947.0,621.40,socfb-Vassar85.mtx,social,gis,,7200,4000000,8,False,True,True,3068.0,119161.0,644.1,1.04,10:48,202664,0,,6136,False
339,config-0,23735.0,286201.0,3068.0,17599.0,562.51,socfb-Vassar85.mtx,social,gis,,7200,4000000,10,False,True,True,3068.0,119161.0,585.12,1.06,9:49,203856,0,,6136,False
389,config-0,25805.0,290154.0,3068.0,19669.0,524.21,socfb-Vassar85.mtx,social,gis,,7200,4000000,12,False,True,True,3068.0,119161.0,546.81,1.06,9:10,204728,0,,6136,False
439,config-0,30643.0,297794.0,3068.0,24507.0,478.90,socfb-Vassar85.mtx,social,gis,,7200,4000000,16,False,True,True,3068.0,119161.0,501.49,0.97,8:24,206220,0,,6136,False
43,config-0,6079.0,201994.0,2970.0,139.0,514.11,socfb-Wellesley22.mtx,social,gis,,7200,4000000,1,False,True,True,2970.0,94899.0,530.62,1.13,8:55,281100,0,,1014,False
93,config-0,11883.0,211572.0,2970.0,5943.0,1757.99,socfb-Wellesley22.mtx,social,gis,,7200,4000000,2,False,True,True,2970.0,94899.0,1778.27,2.16,29:51,208864,0,,3984,False
143,config-0,12874.0,215529.0,2970.0,6934.0,1146.97,socfb-Wellesley22.mtx,social,gis,,7200,4000000,3,False,True,True,2970.0,94899.0,1165.79,1.75,19:34,172728,0,,5274,False
193,config-0,13989.0,219485.0,2970.0,8049.0,1202.71,socfb-Wellesley22.mtx,social,gis,,7200,4000000,4,False,True,True,2970.0,94899.0,1222.65,4.8,20:37,165808,0,,5772,False
