,config,n_vars,n_csts,benchmark,network_type,encoding,configuration,timeout,memory_limit,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,stime,wtime,max_res_set_size,exit_status,signal,encoding_m/o
87,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,1,True,True,True,,,7197.38,2.15,2:00:52,1912000,0,,False
177,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,2,True,True,True,,,7199.19,0.41,2:00:48,245252,0,,False
269,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,3,True,True,True,,,7199.26,0.36,2:00:43,197608,0,,False
360,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,4,True,True,True,,,7199.22,0.37,2:16:24,197488,126,,False
630,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,10,True,True,True,,,7197.45,2.13,2:01:08,197748,0,,False
719,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,12,True,True,True,,,7199.18,0.43,2:00:48,200960,0,,False
809,config1,,,socfb-Trinity100.mtx,social,ilp,1,7200,4000000,16,True,True,True,,,7198.82,0.76,2:00:48,199736,0,,False
79,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,1,False,True,True,,,0.0,0.01,30:20,3268,0,,False
168,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,2,True,True,True,,,7196.96,2.55,2:00:43,177432,0,,False
259,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,3,True,True,True,,,7199.26,0.27,2:00:31,149672,0,,False
349,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,4,True,True,True,,,7199.27,0.27,2:00:28,149776,0,,False
442,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,6,True,True,True,,,7199.29,0.23,2:00:23,149840,0,,False
532,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,8,True,True,True,,,7199.14,0.39,2:00:41,149728,0,,False
619,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,10,True,True,True,,,7199.2,0.29,2:12:18,149688,126,,False
801,config1,,,socfb-USFCA72.mtx,social,ilp,1,7200,4000000,16,False,True,True,,,0.01,0.02,45:58,6312,0,,False
75,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,1,True,True,True,,,7197.11,2.31,2:00:52,1870860,0,,False
164,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,2,True,True,True,,,7199.27,0.34,2:00:46,235944,0,,False
254,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,3,True,True,True,,,7199.18,0.43,2:00:45,208064,0,,False
346,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,4,True,True,True,,,7199.11,0.5,2:00:46,208216,0,,False
439,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,6,True,True,True,,,7199.2,0.39,2:02:44,208036,126,,False
707,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,12,True,True,True,,,7197.54,2.07,2:01:11,208116,0,,False
797,config1,,,socfb-Vassar85.mtx,social,ilp,1,7200,4000000,16,True,True,True,,,7199.16,0.41,2:00:47,208004,0,,False
172,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,2,True,True,True,,,7197.44,2.15,2:01:11,227232,0,,False
264,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,3,True,True,True,,,7199.23,0.37,2:00:46,178312,0,,False
354,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,4,True,True,True,,,7198.84,0.73,2:00:48,178304,0,,False
445,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,6,True,True,True,,,7199.18,0.42,2:00:45,178276,0,,False
534,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,8,True,True,True,,,7199.16,0.42,2:00:46,178392,0,,False
623,config1,,,socfb-Wellesley22.mtx,social,ilp,1,7200,4000000,10,True,True,True,,,7199.21,0.36,2:03:16,178156,126,,False
174,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,2,True,True,True,,,7195.48,4.12,2:01:12,265516,0,,False
266,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,3,True,True,True,,,7198.83,0.79,2:00:48,196244,0,,False
356,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,4,True,True,True,,,7198.87,0.69,2:00:46,198316,0,,False
447,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,6,True,True,True,,,7199.16,0.45,2:00:45,196076,0,,False
536,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,8,True,True,True,,,7199.07,0.53,2:00:46,196328,0,,False
625,config1,,,socfb-Williams40.mtx,social,ilp,1,7200,4000000,10,True,True,True,,,7199.26,0.35,2:02:46,196296,126,,False
84,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,1,True,True,True,,,7199.2,0.29,2:03:55,136796,126,,False
357,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,4,True,True,True,,,7198.14,1.45,2:01:03,86488,0,,False
448,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,6,True,True,True,,,7199.33,0.26,2:00:42,86912,0,,False
537,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,8,True,True,True,,,7199.04,0.55,2:00:46,82404,0,,False
626,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,10,True,True,True,,,7199.34,0.23,2:00:47,82356,0,,False
716,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,12,True,True,True,,,7199.37,0.24,2:00:45,82416,0,,False
806,config1,,,socfb-nips-ego.edges,social,ilp,1,7200,4000000,16,True,True,True,,,7199.4,0.18,2:02:30,82288,126,,False
217,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,3,True,True,True,,,7198.09,1.48,2:01:01,87220,0,,False
309,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,4,True,True,True,,,7199.28,0.29,2:00:45,91712,0,,False
399,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,6,True,True,True,,,7198.98,0.58,2:00:48,87240,0,,False
489,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,8,True,True,True,,,7199.38,0.21,2:00:39,89348,0,,False
577,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,10,True,True,True,,,7199.39,0.19,2:00:37,87256,0,,False
667,config1,,,web-EPA.edges,webgraph,ilp,1,7200,4000000,12,True,True,True,,,7199.31,0.28,2:04:35,87116,126,,False
219,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,3,True,True,True,,,7197.58,2.0,2:01:06,100480,0,,False
311,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,4,True,True,True,,,7199.27,0.33,2:00:47,104232,0,,False
401,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,6,True,True,True,,,7198.73,0.85,2:00:50,99756,0,,False
490,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,8,True,True,True,,,7199.14,0.46,2:00:45,100356,0,,False
578,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,10,True,True,True,,,7199.29,0.29,2:00:43,100352,0,,False
669,config1,,,web-edu.mtx,webgraph,ilp,1,7200,4000000,12,True,True,True,,,7199.31,0.28,2:02:21,102388,126,,False
38,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,1,True,True,True,,,7198.88,0.62,2:00:49,241048,0,,False
128,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,2,True,True,True,,,7199.27,0.31,2:02:14,144876,126,,False
402,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,6,True,True,True,,,7197.56,2.03,2:01:08,146964,0,,False
491,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,8,True,True,True,,,7199.21,0.39,2:00:49,150344,0,,False
579,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,10,True,True,True,,,7198.94,0.64,2:00:47,144932,0,,False
670,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,12,True,True,True,,,7199.19,0.41,2:00:46,145028,0,,False
761,config1,,,web-indochina-2004.mtx,webgraph,ilp,1,7200,4000000,16,True,True,True,,,7199.28,0.35,2:00:44,144728,0,,False
37,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,1,True,True,True,,,7198.4,1.06,2:00:54,476000,0,,False
127,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,2,True,True,True,,,7198.86,0.73,2:00:49,126724,0,,False
218,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,3,True,True,True,,,7199.23,0.36,2:00:45,126716,0,,False
310,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,4,True,True,True,,,7199.22,0.37,2:00:46,125972,0,,False
400,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,6,True,True,True,,,7199.27,0.31,2:02:46,126136,126,,False
668,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,12,True,True,True,,,7197.54,2.04,2:01:06,126096,0,,False
760,config1,,,web-spam.mtx,webgraph,ilp,1,7200,4000000,16,True,True,True,,,7199.21,0.37,2:00:49,129620,0,,False
39,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,1,True,True,True,,,7198.96,0.52,2:00:49,218652,0,,False
129,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,2,True,True,True,,,7199.22,0.37,2:00:45,139924,0,,False
220,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,3,True,True,True,,,7199.24,0.33,2:02:14,139888,126,,False
492,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,8,True,True,True,,,7197.55,2.04,2:01:00,139912,0,,False
580,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,10,True,True,True,,,7199.08,0.52,2:00:43,145200,0,,False
671,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,12,True,True,True,,,7198.44,1.12,2:01:02,140088,0,,False
762,config1,,,web-webbase-2001.mtx,webgraph,ilp,1,7200,4000000,16,True,True,True,,,7199.27,0.31,2:00:37,140152,0,,False
